Class;Text
POS;Lietuvos agrarinių ir miškų mokslo centro vadovas Gintaras Brazauskas teigia, jog ši institucija atlieka taikomuosius tyrimus, skirtingai nei universitetai, kurių tikslas yra fundamentiniai mokslai, todėl bendradarbiavimas su verslu yra mokslo centro prioritetas. Iš maždaug 12 mln. šios institucijos metinių pajamų trečdalis gaunama iš Lietuvos verslo.
POS;Kauno mokslininkai ir verslo startuolis kuria būdą efektyviai ir saugiai valyti vandenį, užterštą medikamentų likučiais – antibiotikais, hormonais ir kitais.
NEU;Mažoji bendrija „Bioksa“, bendradarbiaudama su Kauno technologijos universitetu, kuria bandomąjį įrenginį, kuriame nuotekos valomos ozonuojant ir ultravioletine spinduliuote
POS;Kauno mokslininkų ir inžinierių pasirinktas būdas valyti nuotekas ozonu ir UV šiuo požiūriu neturi jokių antrinių neigiamų pasekmių – gamtai grąžinamas tik išvalytas vanduo.
POS;Testuojama technologija gali būti pritaikyta pačiose įvairiausiose veiklos srityse. Farmacinėmis medžiagomis užteršto vandens susidaro šiltnamiuose, uždaros žuvininkystės ūkiuose. Be to, įrenginys gali būti panaudotas ir ruošiant geriamąjį vandenį.
POS;Pasak dr. V. Abromaičio, KTU mokslininkų pasirinktas būdas nuo pirmų dienų dirbti kartu su verslo startuoliu „Bioksa“ leidžia derinti mokslininkų ir verslininkų kompetencijas trumpinant kelią į komercinę technologijos sėkmę.
POS;Greta kitų startuolių mokslininkė paminėjo ir „Volatile innovation“, ieškantį efektyvesnių sprendimų mažinant oro taršą.
POS;"Ekonomikos ir inovacijų ministerijos ir „Kurk Lietuvai"" iniciatyva „GovTech Lab“, prie kurios įgyvendinimo prisideda ir Mokslo, inovacijų ir technologijų agentūra (MITA), apdovanota Europos Politikos inovacijų apdovanojimuose (angl. The Innovation In Politics Awards 2019)."
POS;Kategorijoje „Gerovė“ apdovanotos iniciatyvos „GovTech Lab“ tikslas yra skatinti viešąjį sektorių ieškoti inovatyvių technologinių sprendimų esamoms problemoms spręsti. Tai ne tik suteiks galimybę startuoliams išbandyti savo technologiją viešajame sektoriuje, bet ir padės ją komercializuoti.
POS;Planuojama, kad „GovTech Lab“ du kartus per metus inicijuos „Iššūkių seriją“, kuomet viešojo sektoriaus institucija paskelbs jai aktualią problemą, o startuoliai, verslas ir visuomenė galės siūlyti inovatyvius technologinius jos sprendimo būdus. Pasinaudodamos „Iššūkių serijos“ galimybėmis institucijos galės greitai rasti inovatyvų technologinį sprendimą, kurio nėra rinkoje, ir tą padaryti greičiau, nei naudojant tradicinius viešųjų pirkimų būdus
POS;„GovTech“ – tai sparčiai besivystanti inovacijų ekosistema, leidžianti verslui kurti inovatyvius, dažniausia naujausiomis technologijomis grįstus sprendimus viešojo sektoriaus iššūkiams spręsti. Skaičiuojama, kad pasauliniu mastu „GovTech“ – tai net 400 mlrd. dolerių pasaulinė rinka, kurią galėtų išnaudoti startuoliai ir valstybės
POS;Projekto tikslas – didinti inovacijų ir įmonių GovTech ir dirbtinio intelekto srityse skaičių, skatinti įmones kurti ir diegti tokius sprendimus, sukurti palankią ekosistemą GovTech ir dirbtinio intelekto startuoliams skatinti, pasitelkiant GovTech ir dirbtinio intelekto technologijų ir inovacijų populiarinimo veiklas bei užtikrinant prieinamas konsultacijas norintiems kurti GovTech ir dirbtinį intelektą.
POS;Prieš ketverius metus bendraminčių iš Kauno technologijos universiteto (KTU) įkurtas startuolis MB „Pažangiosios technologijos“ per kelerius metus pasiekė puikių rezultatų, o glaudus bendradarbiavimas su pažangias technologijas kuriančiais mokslininkais startuolio įkūrėjams leidžia drąsiai žvelgti į ateitį
NEU;MB „Pažangiosios technologijos“ (angl. „Volatile Innovation“) komandos branduolį sudaro jau ilgus metus aplinkosaugos, chemijos inžinerijos, polimerų technologijos bei verslumo, antreprenerystės srityse besidarbuojantys specialistai, kurie savo dėmesį nukreipė į pastaruoju metu itin sparčiai besiplečiančią 3D medicininių ir farmacinių produktų spausdinimo rinką.
POS;Pastaruoju metu 3D medicininių ir farmacinių produktų spausdinimo rinka plečiasi itin sparčiai. Remiantis rinkos prognozėmis, 2025–2027 m. pasaulinė šios srities rinka sieks bent 4–6 mlrd. JAV dolerių, tai yra 10 kartų daugiau nei 2016 m. (400–600 mln. JAV dolerių), o laukiamas bendras metinio augimo koeficientas sieks maždaug 18 proc.
POS;"Pasak D. čiužo, sukurtos technologijos pritaikymo galimybės yra labai plačios: elektrinio verpimo būdu pagamintos membranos taikomos biomedicinoje (audinių regeneracija; kaulų, odos, kraujagyslių inžinerija); farmacijoje (vaistų nešikliai); aplinkosaugos technologijose (filtrų medžiagos, sorbentai, sensoriai); energetikoje (elektrodai, saulės elementai, kuro celės); maisto pramonėje (pakuotės, plėvelės, nanostruktūrinės maisto medžiagos); chemijos pramonėje (anglies nano vamzdeliai, katalizė, membranos) ir kt."
POS;Pasaulinė nanopluoštinių medžiagų rinka, pasak mokslininko, vystosi neregėtais tempais. Net pačiomis kukliausiomis prognozėmis 2016 metais 477.7 mln. JAV dolerių vertinta ši rinka, jau 2024 metais turėtų siekti 2,89 mlrd. JAV dolerių.
NEG;Lietuvos bankas nustatė, kad Lietuvoje veikianti Kinijos kapitalo elektroninių pinigų įstaiga „PanPay Europe“ klientų pinigus laikė ne kredito įstaigoje ir už tai jai skyrė piniginę baudą.
NEG;Tuo tarpu UAB „PanPay Europe“ didelę dalį klientų lėšų laikė kitose ES šalyse registruotose elektroninių pinigų ir mokėjimo įstaigose ir taip pažeidė įstatymo reikalavimus, aiškina Lietuvos bankas.
NEG;Priežiūros tarnyba taip pat nustatė, kad bendrovė Lietuvos bankui teikė neteisingą informaciją apie klientų lėšų likučius kredito, mokėjimo ir elektroninių pinigų įstaigose, buvusius 2018 m. trečiojo ir ketvirtojo ketvirčių pabaigoje bei 2019 m. pirmojo ketvirčio pabaigoje.
POS;Keturioms bendrovėms išduotos elektroninių pinigų įstaigos licencijos Lietuvos banko valdyba išdavė keturioms bendrovėms – UAB New Entertainment Technology, UAB „Maneuver LT“, UAB „Walletto“ ir Valyuz, UAB, – elektroninių pinigų įstaigos licencijas, suteikiančias teisę leisti elektroninius pinigus ir teikti Mokėjimų įstatyme nustatytas kai kurias mokėjimo paslaugas.
POS;į Lietuvos FinTech ekosistemą įsiliejo daugiau nei 40 naujų dalyvių, o darbuotojų, dirbančių šiame sektoriuje, skaičius padidėjo 30 proc. Lietuva ir toliau sparčiai stiprina finansinių technologijų industriją, neužleisdama pirmaujančių pozicijų.
POS;„FinTech 2019“ raporte pastebima Lietuvoje įsikūrusių FinTech įmonių sparti plėtra. Daugelis apklaustų rinkos dalyvių samdo vis daugiau darbuotojų, atliekančių įvairias, aukštos pridėtinės vertės funkcijas, taip pat Lietuvoje veikiančios įmonės sėkmingai plečiasi, pritraukia kapitalo investicijas.
POS;Vyriausybė, paskelbusi finansinių technologijų plėtrą vienu iš prioritetų, nuo 2016 m. skiria didelį dėmesį ne tik atveriant naujas galimybes inovacijoms taikyti (sukurta palanki infrastruktūra, teisinė aplinka, programos, skirtos skatinti inovatyvias finansines paslaugas bei kt.), bet ir saugumui užtikrinti.
POS;Finansų ministerijos ateities planuose – naujos reglamentavimo iniciatyvos, dar labiau skatinančios mūsų šalyje kurtis FinTech įmones, tobulinami tapatybės nustatymo metodai, plečiama FinTech sprendimų ir paslaugų pasiūla bei FinTech įrankių naudojimas „žaliųjų“ investicijų skatinimui.
POS;„Lietuva per labai trumpą laiką įsitvirtino pasaulyje kaip FinTech centras. Tai lėmė mūsų atvirumas inovacijoms, greitis, rizikų valdymas bei efektyvus ir progresyvus visų FinTech ekosistemos dalyvių bendradarbiavimas.
POS;„FinTech sektorius – vienas sparčiausiai didėjančių aukštą pridėtinę vertę sukuriančių Lietuvos ekonomikos sektorių, kuris nuo 2016 metų išaugo dvigubai. Jo nauda Lietuvai akivaizdi – aktyvus FinTech sektorius leidžia pritraukti žinomas kompanijas, kurios kuria naujas darbo vietas šalyje ir skatina inovacijas. Todėl galime pasidžiaugti, kad 2019 metais mūsų šalyje veikė daugiau nei 200 fintech įmonių, kuriose dirbo daugiau kaip 3 tūkst. profesionalų.
POS;2019 m. pabaigoje Lietuvoje veikė 210 FinTech įmonių (2018 m. jų buvo 170). Dirbančiųjų šiame sektoriuje skaičius per metus padidėjo 31 proc. (nuo 2,6 tūkst. iki 3,4 tūkst.). Pastebimas didėjantis poreikis ne tik IT, bet ir pinigų plovimo prevencijos (angl. AML) bei atitikties (angl. compliance) specialistų.
POS;Visų pirma svarbu pažymėti jog pasaulinė „fintech“ industrija nenustoja sparčiai augti ir pritraukia vis didesnį investuotojų dėmesį. Rinkos tyrimų bendrovės „CB Insights“ duomenimis, 2014 – 2018 m. pasaulinės investicijos į „fintech“ įmones padidėjo beveik penkis kartus – nuo 8,3 iki 39,5 mlrd. JAV dolerių.
POS;Rizikos kapitalo investicijos į „fintech“ industriją didėja globaliu mastu: rizikos kapitalo investicijos į „fintech“ verslus JAV per pastaruosius penkerius metus išaugo dukart, Azijoje – beveik 8 kartus, Europoje – triskart ir 2018 m. siekė 3,5 mlrd. JAV dolerių. Dėmesys ir investicijų apimtys į „fintech“: industriją taip pat auga ir kitose regionuose, tačiau šiuo metu dominuojančias pozicijas investicijų į šią industriją atžvilgiu išlaiko JAV, Azija ir Europa – kartu paėmus, šioms rinkoms 2018 m. teko 96 proc. visų investicijų į „fintech“ rinką.
POS;šiuo metu „CB isights“ duomenimis 34 „fintech“ verslai gali vadintis „vienaragiais“ – nuo 2018 metų pradžios šį „klubą“ papildė trečdalis (11) naujų vardų. Tokios augimo tendencijos palankios Lietuvos „fintech“ verslams – tebeaugantis investuotojų susidomėjimas šia industrija bei natūraliai kylanti konkurencija atrasti naująjį „vienaragį“ verčia užsienio rizikos kapitalo atstovus plėsti savo akiratį bei ieškoti perspektyvių startuolių naujose geografijose – tokiu būdu atsiranda daugiau galimybių pažengusiems Lietuvos „fintech“ verslams būti pastebėtiems bei pritraukti investicijas tarptautinei plėtrai.
POS;“Investuok Lietuvoje” atliktas Lietuvos „fintech“ rinkos tyrimas rodo, kad šis sektorius mūsų šalyje šiuo metu taip pat išgyvena sparčios plėtra etapą: 2018 m. Lietuvoje veikė 170 „fintech“ įmonės ir, palyginti su 2014 m., jų skaičius išaugo triskart (2014 m. – 55 „fintech“ bendrovės). Vien 2018 m. „fintech“ ekosistemoje veikiančių startuolių skaičius Lietuvoje padidėjo 45 proc., o šiuo metu tokios įmonės įdarbina apie 2 700 specialistų. 70% visų Lietuvoje veikiančių įmonių (120) savo gimtąja šalimi vadina Lietuvą.
POS;Tuo tarpu iš Lietuvoje įkūrtų tarpusavio skolinimo platformų reikėtų išskirti pradininkus „Savy“, kurie nuo 2015 metų pradžios jau yra išdavę daugiau negu 18 milijonų eurų paskolų. Taip pat pastaraisiai metais sparčiausiai Lietuvos rinkoje augančią „NEO Finance“, kurios 2019 metų planuose – viešasis akcijų platinimas „ Nasdaq First North“ vertybinių popierių biržoje. šių startuolių verslo modelius validuoja ir tai, jog tarptautiniu mastu alternatyvaus finansavimo srityje galima rasti ne vieną pripažintą „vienaragį“.„Kabbage“, „Lending Club“, „Tuandaiwang“, „soFI“, „Lu.com“ – visos šios įmonės yra pasiekusios bent jau 1 mlrd. JAV dolerių vertę.
POS;Lietuvos alternatyvaus skolinimo rinka galima apibūdinti kaip sparčiai besivystančią – jos žaidėjai supranta, jog spartus pasaulinis srities augimas atveria galimybes ir regioninėms įmonėms plėstis bei pasiekti „vienaragio“ statusą. Todėl nesnuostabu, jog šioje srityje veikiančių startuolių perspektyvas turėtume vertinti itin palankiai.
POS;Vienos iš kertinių bankininkystės sričių – tarptautinių pinigų pervedimų – rinką bando sudrebinti turbūt garsiausias Lietuvos „fintech“ srities atstovas „TransferGo“. 2012 metais įkūrtas startuolis teikia pinigų pervedimo, valiutų konversijos paslaugas tiek individualiems asmenims, tiek verslams. Veikla vykdoma 47 pasaulio valstybėse tarp kurių kaimyninė Latvija bei tolimosios Indija ar Australija. Iš viso 2018 metų gale įmonė viešai skelbė, jog jos paslaugomis naudojasi 833 000 klientų.
POS;šioje rinkoje sėkmingai verslą vystantys Lietuvos atstovai vėlgi nėra unikalūs bei išskirtiniai – geriausias to pavyzdys panašiu verslo modeliu besiremiantis estų piniginių perlaidų „vienaragis“ „Transferwise“. Nepasaint to sugebėjimas teikti aukšto lygio paslaugas bei gebėjimas atrasti bei sutelkti dėmesį į konkrečias rinkas – Turkiją, Indiją, Ukrainą, Rusiją – padeda TransferGo užimti svarbią vietą rinkoje bei toliau sėkmingai augti.
POS;Taip pat galimybes plėstis į užsienio rinkas Lietuvos startuoliams atveria ir milžiniška skaitmeninių mokėjimų apdorojimo rinka. šią sritį galima laikyti viena iš „fintech“ proveržio pradininkių: 2011 metais pirmuoju „fintech“ „vienaragiu“ pasauliniu mastu tapo švedijoje įsikūręs startuolis „Klarna“, kuris teikia mokėjimų paslaugas e-komercijos verslams, 2014 metais tokį pat statusą pasiekė iš JAV kilęs „Stripe“, kurio vertė praėjusių metų rudenį pasiekė 20 milijardų JAV dolerių.
POS;Suprantant, tai jog skaitmeninių mokėjimų rinkos dydis remiantis „BNP Paribas“ vykdyto tyrimo duomenis 2020 metais turėtų pasiekti 726 milijardus JAV dolerių, bei darant prielaidą, jog bus atliekami teisingi žingsniai puoselėjant savo konkurencinius pranašumus bei siekiant įžengti į naujas rinkas, galima įžvelgti šių startuolių perspektyvą tapti tarptautiniais lyderiais.
NEU;Tačiau kyla klausimas ar jų plėtros tempas yra pakankamas pasiekti „vienaragio“ statusą bei kokie veiksmai turėtų jį paspartinti.
POS;žvelgiant į anktyvosios stadijos Lietuvos „Fintech“ startuolių progresą rizikos kapitalo fondo „Open Circle Capital“ partneris Audrius Milukas pažymi, jog perspektyvių verslų yra: „Reikėtų išskirti klientų pažinimo ir pinigų plovimo prevencijos srityse technologinius sprendimus plėtojančius startuolius „Ondato“ bei „Idenfy“, mobiliosios bankininkystės sprendimus teikiantį „Paysolut“ bei draudimo rinką siekiantį sudrebinti – „Ooniq“.
NEU;„Pastaruoju metu matome teigiamą tendenciją, jog mūsų šalyje bei regione atsiranda vis daugiau rizikos kapitalo fondų, tačiau svarbu pažymėti, jog Lietuvoje dauguma startuolių „neužauga“ iki tokio lygio verslų, kuriuos įprastai finansuoja fondai.
POS;Išsamiau pažvelgus į Lietuvos „fintech“ startuolių ekosistemą, tampa akivaizdu, jog turime džiaugtis ne tik dėl to, jog mūsų šalyje padalinius steigia tarptautiniai „vienaragiai“, tačiau ir todėl, kad veiklą sėkmingai vykdo Lietuvoje įkūrtos „fintech“ įmonės. Visų pirma, reikėtų išsskirti sparčiai augančius bei užsienio investuotojų dėmesį patraukusius startuolius: „SME Finance“, „Savy“, „NEO Finance“ „Transfergo“, „Worapay“, „Mistertango“.
POS;Fintech įmonė nukreipta į elektronines parduotuves ir padeda įsigyti prekę išsimokėtinai be pabrangimo.
POS;Startuolio platformoje vartotojai gali įsigyti prekę išsimokėtinai be pabrangimo. Naujo tipo lizingą siūlančios „fintech“ įmonės tikslinė auditorija – e. prekybos bendrovės.
NEG;Lietuvos bankui skyrus 90 tūkst. eurų baudą vartojimo kreditų bendrovei „Mogo LT“, ši teigia gerbianti reguliuotojo sprendimą, bet sako neturėjusi tikslo pažeisti įstatymų.
NEG;Lietuvos bankas (LB) ketvirtadienį paskelbė, kad „Mogo LT“, siekdama išvengdama klientų mokumo patikros reikalavimų sudarinėjo automobilių nuomos sutartis, nors iš esmės teikė vartojimo paskolas.
NEG;Bauda jai skirta už Vartojimo kredito įstatymo pažeidimus.
NEU;Lietuvos bankas išnagrinėjo 2018-2019 metais sudarytas 72 „Mogo LT“ transporto priemonių valdymo ir naudojimosi (nuomos) sutartis ir nustatė, kad jos iš esmės yra vartojimo kredito sutartys,
NEG;Kita dalis „Mogo LT“ sudarytų transporto priemonių nuomos sutarčių, atsižvelgiant į tikruosius sutarties sudarymo tikslus, įvertintos kaip automobilio finansavimo sutartys – tai yra vartojimo kredito sutartys, kurioms taikomi Vartojimo kredito įstatymo reikalavimai, neatsižvelgiant į tai, kad sutartyse formaliai buvo nurodyta vartotojo teisė, o ne pareiga įsigyti nuomojamą automobilį.
NEG;Dėl koronaviruso pandemijos šiemet paskolų įmonėms portfelis Lietuvoje susitraukė beveik 1 mlrd. eurų, rodo Lietuvos banko duomenys
NEG;Dėl pasaulį ir Lietuvą kaustančios pandemijos šiemet Lietuvoje tradicinis finansavimas verslui reikšmingai traukėsi. Lyginant vien šių ir praėjusių metų rugsėjo mėnesius, paskolų portfelis įmonėms susitraukė beveik milijardu, nuo 8,75 mlrd. iki 7,82 mlrd. eurų, rodo Lietuvos banko duomenys.
POS;Ypač ryškų alternatyvaus finansavimo poreikį rodo sparčiai augantys nebankinio finansavimo kompanijų portfeliai. Pavyzdžiui, „Giantus Group“ įmonių paskolų portfelis šiandien siekia apie 10 mln. eurų, tačiau planuojama, jog netolimoje ateityje jis išaugs dvigubai.
POS;D. Vaičikonio teigimu, vartotojai noriai renkasi alternatyvius finansuotojus, nes šie greičiau suteikia paslaugas bei gali įsigilinti į individualią kliento situaciją ir taip pasiūlyti naudingiausius sprendimus. Pasitikėjimą nebankinio finansavimo kompanijomis ir augančią sektoriaus svarbą šalies ekonomikai patvirtina ir tai, kad nemažai šių bendrovių yra įtraukta į valstybės paramos verslui skirstymo programas.
NEU;Kreipdamiesi į nebankinio finansavimo bendroves, juridiniai asmenys dažniausiai turi poreikį automobilių lizingui ar sprendimų verslo apyvartinėms lėšoms finansuoti.
POS;Praėjusių metų pabaigoje įsigaliojus naujos redakcijos Valstybės skolos įstatymui, Nacionalinės plėtros įstaiga „Investicijų ir verslo garantijos“ (INVEGA) įgijo galimybę garantuoti ir už alternatyvių finansuotojų teikiamas finansines paslaugas. Pasak D. Vaičikonio, tai – alternatyvaus finansavimo paslaugų pripažinimas valstybės lygmeniu
POS;„Invega“ supranta, kad alternatyvus finansavimas yra tvari alternatyva, todėl paramą nuo COVID-19 nukentėjusiam verslui nukreipė ir per alternatyvius finansavimo produktus. „Invegos“ duomenimis, jos siūloma alternatyvaus finansavimo priemone „Alternatyva“ iki šių metų spalio pabaigos jau pasinaudojo 409 juridiniai asmenys, o jiems suteikta parama siekia 15,6 mln. eurų. Tad valstybės pasitikėjimą pateisinome ir dar kartą įrodėme, kad iš tiesų galime būti naudingi vartotojams net ir krizių metu“, – pasakoja D. Vaičikonis.
POS;„Rinkoje matomi klientų poreikiai skatina mus plėsti siūlomų paslaugų spektrą, o kartu – atitinkamai pertvarkyti ir savo veiklą. į „Giantus Group“ įmonių grupę sujungę kelias bendroves, vartotojams jau galime „iš vienų rankų“ pasiūlyti visas svarbiausias paslaugas smulkiam ir vidutiniam verslui – finansavimą, draudimą, verslo konsultacijas ir turto vertinimą.
NEG;Konkurencijos taryba nusprendė kreiptis į antstolį už kartelinį susitarimą bendrovei „Panevėžio melioracija“ skirtos 209 800 eurų baudos ir palūkanų priverstinio išieškojimo į valstybės biudžetą.
NEG;Lietuvos vyriausiajam administraciniam teismui (LVAT) patvirtinus Konkurencijos tarybos nutarimą ir priėmus galutinį bei neskundžiamą sprendimą, bendrovė turėjo sumokėti ir baudą, ir 6 proc. dydžio metines palūkanas už kiekvieną pradelstą dieną.
NEG;Konkurencijos taryba pernai birželį paskelbė, kad bendrovės „Pasvalio melioracija“, „Jadrana“, „Panevėžio melioracija“ ir „Biržų ranga“, užuot konkuravusios, susitarė, kokias darbų kainas siūlyti Pasvalio, Panevėžio ir Biržų rajono savivaldybių 2012–2017 metais organizuotuose 25 viešuosiuose pirkimuose kelių ir gatvių remonto bei melioracijos darbams pirkti.
NEG;Už Konkurencijos įstatymą iš viso 977 900 eurų finansinėmis sankcijomis nubaustos įmonės pripažino konstatuotą pažeidimą, tačiau teisme ginčijo Konkurencijos tarybos skirtų baudų dydžius.
POS;Dar šiemet 70 naujų darbuotojų priimti planuoja šiauliuose veikianti dviračių gamykla „Baltik vairas“. Kelių dešimčių šaltkalvių surinkėjų, dirbsiančių prie surinkimo linijų, prireikė smarkiai išaugus dviračių paklausai visoje Europoje. įmonės vadovai prognozuoja tolesnį poreikio augimą, todėl naujų darbo vietų žada kurti ir kitais metais.
POS;„Iki šių metų pabaigos norime suformuoti darbuotojų komandą jau penktai dviračių surinkimo linijai, o augančios užsakymų apimtys skatina planuoti naujų linijų įrengimą, – planais dalinasi žilvinas Dubosas, „Baltik vairo“ generalinis direktorius. – Nuolat investuojame į naujas technologijas, todėl ketiname ir toliau išlaikyti didžiausios šiaurės Europoje dviračių gamyklos pozicijas.“
POS;„Dviračių pageidavo įsigyti dešimtys tūkstančių naujų pirkėjų, panorusių viešąjį transportą iškeisti į saugesnę, ekologiškesnę ir sveikatai naudingesnę transporto priemonę, – aiškina ž. Dubosas. – Mūsų pajėgumai leidžia reikšmingai padidinti gamybą – turime gerą progą apmokyti ir įdarbinti dar daugiau žmonių, suteikti jiems stabilias darbo vietas ir galimybę dirbti pažangiai organizuotoje įmonėje.“
POS;Jau kelerius metus „Baltik vairas“ yra viena didžiausių Europoje dviračių gamyklų, o šiaulių apskrityje – tai viena iš daugiausiai darbo vietų sukūrusių įmonių. Per metus daugiau kaip 300 tūkst. dviračių surenkanti gamykla beveik visą produkciją eksportuoja į Vakarų Europą.
NEG;Bendras ekonomikos dalyvių – gamintojų, vartotojų ir investuotojų – pasitikėjimas Lietuvos ekonomika lapkritį, palyginti su spaliu, sumažėjo 6 proc. punktais ir sudarė minus 8 procentus.
NEG;Tam įtakos turėjo blogėjanti situacija dėl pandemijos: lapkritį 24 proc. (prieš mėnesį – 17 proc.) respondentų nurodė, kad jų įmonės veiklą apribojo koronavirusas, pranešė Statistikos departamentas.
NEG;Labiausiai pandemijos įtaką jautė prekybos (32 proc., spalį – 20 proc.) ir paslaugų sektorius (32 proc., spalį – 24 proc.), mažiau – pramonės (12 proc., spalį – 10 proc.) ir statybos (14 proc., spalį – 9 proc.).
NEG;Valstybės kontrolė skelbia, jog nuo koronaviruso krizės nukentėjusiam verslui skirtą valstybės paramą per „Invegą“ gavo ir kai kurios įmonės, kurias Valstybinė mokesčių inspekcija (VMI) identifikavo kaip nenukentėjusias.
NEG;Naftos milžinė „ExxonMobil“ pranešė atleisianti 15 proc. visų įmonės darbuotojų ir nurašysianti dalį turto, taip siekiant sumažinti išlaidas. Bendrovė išlaidas suskubo mažinti dėl koronaviruso pandemijos gerokai sumažėjus pajamoms.
NEG;2019 m. pabaigoje „ExxonMobil“ turėjo apie 88 tūkst. darbuotojų, o iki kitų metų pabaigos, planuojama, įmonėje nedirbs apie 13 200 iš jų.
NEG;2021 m. taip pat bus sumažintos investicijos į įrangą ir iškastinio kuro žvalgymo ir gavybos projektus. Jos kris iki žemiausio lygio per pastaruosius 15 metų.
NEG;„ExxonMobil“ smarkiai nukentėjo nuo koronaviruso pandemijos, dėl kurios sumažėjo naftos ir dujų paklausa visame pasaulyje.
NEG;Anksčiau kas ketvirtį gavusi milijardus dolerių pelno, bendrovė nuostolingai veikia jau tris ketvirčius iš eilės.
NEG;Keturių Panevėžyje veikiančių taksi ir pavėžėjimo įmonių vadovas bei dvi buhalterės kaltinami išvengę daugiau nei 229 tūkst. eurų mokesčių, antradienį pranešė Panevėžio apygardos prokuratūra.
NEG;Pasak prokuratūros, iš viso šioje byloje pareikšti kaltinimai dėl 12 nusikalstamų veikų: aplaidaus ir apgaulingo buhalterinės apskaitos tvarkymo, neteisingų duomenų apie pajamas ir pelną pateikimo, mokesčių nesumokėjimo ir neteisėto disponavimo šaudmenimis.
NEG;Taip pat nustatyta, kad iš vairuotojų galėjo būti reikalauja priėmus grynuosius pinigus neišduoti kvito klientams, o atsiskaičius su įmonės vadovu, jiems būdavo nurodoma, kurios įmonės vardu ir kokiai sumai jie turi išrašyti kvitus. Tokiu būdu įmonių apskaita buvo klastojama ir šios sugebėjo išvengti mokesčių prievolės.
NEG;Anot teisėsaugos, dalį algų įmonės darbuotojams mokėdavo grynaisiais pinigais, jų nefiksuojant buhalterinėje apskaitoje.
NEG;Pareigūnams atliekant kratas įmonių vadovo namuose rasta per 40 tūkst. eurų grynaisiais ir 15 neteisėtai laikomų 9mm kalibro šovinių.
POS;„Revolut Bank“ antradienį klientams Lietuvoje pristatė dvi naujas kredito paslaugas – vartojimo paskolas ir kredito korteles, rašoma įmonės pranešime.
POS;Didžioji dalis banko klientų jau gali kreiptis paskolos iki 8 tūkst. eurų. Paskoloms nebus taikomi jokie administravimo, komisiniai ar kiti mokesčiai, tik metinės palūkanos nuo 6,65 proc., priklausomai nuo kliento rizikos įverčio.
POS;Paraišką vartojimo paskolai galima pateikti tiesiogiai „Revolut“ mobiliojoje programėlėje, visas procesas nuo paraiškos pateikimo iki pinigų išmokėjimo trunka vos kelias minutes. Programėlėje klientai galės be papildomų mokesčių keisti paskolos grąžinimo įmokos dieną, dalį arba visą pasiskolintą sumą nemokamai grąžinti anksčiau laiko, ir bet kada pasitikrinti savo paskolos išrašą.
POS;Be paskolų, savo klientams „Revolut Bank“ pasiūlė ir kredito korteles, kurioms pasirinkus standartinį planą nebus taikomi jokie administravimo ar mėnesiniai mokesčiai, reikės tik sumokėti kurjeriui už kortelės pristatymą. Kortelių kredito limitas galės siekti iki 3 tūkst. eurų.
NEU;Pasak jo, „Revolut“ klientai Lietuvoje pirmieji gali pradėti naudotis naujos kartos banko paslaugomis, ir pereiti prie technologiškai pažangesnio ir patogesnio finansų valdymo
POS;Siūlydamas kredito paslaugas ir vertindamas klientų kreditingumą, bankas bendradarbiauja su duomenų analizės įmone „Scorify”. Norėdami pradėti naudotis kredito paslaugomis, klientai turi atsisiųsti naujausią „Revolut“ programėlės versiją.
POS;Aktyviausiems savo klientams išbandyti kredito paslaugas bankas pasiūlė jau anksčiau, o dabar jas atveria dar didesniam klientų ratui.
POS;Lietuvoje kuriama vandenilio platforma, skirta šios energijos rūšies technologijų plėtrai. Energetikos ministerija pranešė kartu su dar 19 organizacijų pasirašiusi susitarimą dėl platformos įkūrimo.
POS;„Vandenilio technologijos (...) iš esmės transformuos mūsų energetiką ir padės žalinti pramonę ir transportą. Siekiant išnaudoti vandenilio galimybes Lietuvoje būtina sutelkti tiek investicinę ir teisinę aplinką, tiek rinkos galimybes, tiek mokslinį potencialą“,
POS;Susitarime numatyta, kad identifikavus vandenilio panaudojimo energetikoje, pramonėje ir transporte skatinimo priemones ir tikslus, bus kuriama nacionalinė vandenilio strategija.
POS;Susitarimą pasirašiusi gamtinių dujų perdavimo sistemos operatorė „Amber Grid“ teigia aktyviai dalyvaujanti vandenilio tyrimuose ir plėtroje tiek Lietuvoje, tiek užsienyje.
POS;Platformos nariais taip pat tapo Susisiekimo ir Ekonomikos ir inovacijų ministerijos, Valstybinė energetikos reguliavimo taryba (VERT), „EPSO-G“, „Ignitis grupė”, „Klaipėdos nafta“, „Orlen Lietuva“, „Achema“, Lietuvos pramonininkų konfederacija, Vandenilio energetikos asociacija, Lietuvos darbdavių konfederacija ir kitos bendrovės bei organizacijos
NEG;Su Kauno mero Visvaldo Matijošaičio kontroliuojama „Vičiūnų grupe“ susijusios žemės ūkio bendrovių grupės „Groward Group“ valdoma Plungės rajone veikianti kiaušinių pakavimo bei jų produktų gamybos bendrovė „Europe eggs“ atleidžia 28 darbuotojus.
NEG;Turto valdymo bendrovės „Invalda INVl“ neaudituoti grynieji nuostoliai per tris šių metų ketvirčius siekė 3 mln. eurų, kai pernai tuo pačiu laikotarpiu bendrovė uždirbo 13,6 mln. eurų pelno.
